COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur
36,Pontevedra,2016,32592,53,271.2328767123288,342.7284427284427,372.9868065783014,71.49556601611391
36,Pontevedra,2017,34763,52,273.712962962963,350.0,381.9969220147858,76.28703703703701
36,Pontevedra,2018,37148,55,281.9292773713259,342.97309123525775,387.01843975449555,61.04381386393186
36,Pontevedra,2019,40213,56,296.85483870967744,370.35773484715133,405.52696889065726,73.5028961374739
36,Pontevedra,2020,41993,57,298.1111111111111,378.6163522012579,413.9194389541114,80.5052410901468
36,Pontevedra,2021,43573,57,300.0,388.4959349593496,427.1668693915957,88.4959349593496
36,Pontevedra,2022,44988,57,301.0,400.0,446.4190895349871,99.0
36,Pontevedra,2023,46402,57,324.3697478991597,400.0,459.2906986767812,75.63025210084032
36,Pontevedra,2024,48088,59,335.5970066518847,417.8888098624941,486.58889951755117,82.29180321060937
37,Salamanca,2011,10929,21,278.33098591549293,385.82758620689657,389.90804282185013,107.49660029140364
37,Salamanca,2012,11211,22,267.2219101123596,378.6249051353402,387.5521362947106,111.40299502298063
37,Salamanca,2013,11496,21,250.0,376.4105504587156,385.53975295755043,126.41055045871559
37,Salamanca,2014,12056,23,250.0,362.2468085106383,384.3692767086928,112.24680851063829
37,Salamanca,2015,12836,26,246.234375,385.06681190994914,384.2519476472421,138.83243690994914
37,Salamanca,2016,13687,28,248.75776397515529,371.83532349109856,383.16468181486084,123.07755951594328
37,Salamanca,2017,14656,27,250.0,376.2366437020668,385.8853711790393,126.23664370206677
37,Salamanca,2018,15247,28,255.802734375,382.1840992685917,398.9747491309766,126.3813648935917
37,Salamanca,2019,16077,29,282.22222222222223,387.683615819209,423.5609877464701,105.4613935969868
37,Salamanca,2020,16634,32,278.84078887957173,409.3903234200463,427.1254659131898,130.54953454047455
37,Salamanca,2021,17104,32,292.9166666666667,413.55857516252263,428.0602198316183,120.64190849585594
37,Salamanca,2022,17370,34,296.3333333333333,416.42819912775235,448.12256764536556,120.09486579441904
37,Salamanca,2023,18244,33,300.0,415.5903614457831,468.66811006358256,115.59036144578312
37,Salamanca,2024,19023,34,312.46774193548384,438.2748682476943,483.8225306208274,125.80712631221047
38,Santa Cruz de Tenerife,2011,25439,45,337.0,391.11675126903555,401.3916034435316,54.11675126903555
38,Santa Cruz de Tenerife,2012,26400,44,327.7752650259189,387.1888380632313,396.666553030303,59.4135730373124
38,Santa Cruz de Tenerife,2013,27665,44,313.1575829383886,380.01612903225805,386.8252304355684,66.85854609386945
38,Santa Cruz de Tenerife,2014,30440,44,316.27272727272725,378.2972314791079,384.4797306176084,62.02450420638064
38,Santa Cruz de Tenerife,2015,33616,47,322.3693181818182,375.87842465753425,387.74238457877203,53.50910647571607
38,Santa Cruz de Tenerife,2016,36476,48,321.82171052631577,388.36176321138214,393.4839620572431,66.54005268506637
38,Santa Cruz de Tenerife,2017,40008,48,335.9889817629179,401.28271543086174,403.17971405718856,65.29373366794385
38,Santa Cruz de Tenerife,2018,42721,50,334.45491803278685,412.48946605854985,422.8642587954402,78.034548025763
38,Santa Cruz de Tenerife,2019,45521,52,353.94132653061223,442.16257612257925,453.11941741174405,88.22124959196702
38,Santa Cruz de Tenerife,2020,48107,51,373.7394366197183,451.2782571776532,465.7312657201655,77.53882055793491
38,Santa Cruz de Tenerife,2021,50206,53,375.8333333333333,459.1044776119403,476.8089471377923,83.27114427860698
38,Santa Cruz de Tenerife,2022,51736,53,397.15,490.4453781512605,501.5361450440699,93.29537815126054
38,Santa Cruz de Tenerife,2023,54136,53,425.0425531914894,505.7293233082707,526.1035540121177,80.6867701167813
38,Santa Cruz de Tenerife,2024,55876,53,452.8536585365854,539.1020408163265,559.8442086047677,86.24838227974112
39,Cantabria,2011,13072,45,333.0,405.2247191011236,447.5860618115055,72.22471910112358
39,Cantabria,2012,13757,45,322.0,410.53921568627453,442.59649632914153,88.53921568627453
39,Cantabria,2013,14311,48,302.32142857142856,400.0,422.82447068688424,97.67857142857144
39,Cantabria,2014,15385,49,322.90776699029124,405.27027027027026,419.97835554111145,82.36250327997902
39,Cantabria,2015,17229,51,317.80479452054794,391.8695652173913,413.06779267514077,74.06477069684337
39,Cantabria,2016,19025,56,326.781914893617,400.75,419.6158212877792,73.968085106383
39,Cantabria,2017,20757,60,334.1513157894737,402.23137721763726,421.2718600953895,68.08006142816356
39,Cantabria,2018,22320,61,333.81742738589213,400.0,425.38006272401435,66.18257261410787
39,Cantabria,2019,24336,65,352.39798488664985,425.9189189189189,455.8755752794214,73.52093403226905
39,Cantabria,2020,25568,68,350.0,431.1617647058823,461.56167866082603,81.16176470588232
39,Cantabria,2021,26674,67,363.2123161764706,436.30328681461145,467.3932668516158,73.09097063814085
39,Cantabria,2022,27366,66,380.2241379310345,450.6367924528302,490.08342468756854,70.41265452179573
39,Cantabria,2023,28728,68,399.0783783783784,475.32824764521195,508.880186577555,76.24986926683357
39,Cantabria,2024,29444,69,408.0,493.22033898305085,539.09754109496,85.22033898305085
40,Segovia,2011,3861,28,326.5,419.20846774193546,422.84511784511784,92.70846774193546
40,Segovia,2012,3912,30,323.6875,398.4203910614525,414.9647239263804,74.7328910614525
40,Segovia,2013,4112,30,314.5107892107892,386.25,398.1087062256809,71.7392107892108
40,Segovia,2014,4419,30,300.0,376.96153846153845,384.54921928038016,76.96153846153845
40,Segovia,2015,4815,36,300.0,374.1525423728814,375.3757009345794,74.15254237288138
40,Segovia,2016,5285,37,300.0,374.3864734299517,384.22724692526015,74.3864734299517
40,Segovia,2017,5645,36,303.5121951219512,391.0,385.6857395925598,87.48780487804879
40,Segovia,2018,6120,38,300.0,369.5630054172882,388.31748366013073,69.5630054172882
40,Segovia,2019,6703,38,307.24365884591,385.54818866241703,410.23780396837236,78.30452981650706
40,Segovia,2020,7035,38,323.12845528455284,406.6615853658536,417.3876332622601,83.53313008130078
40,Segovia,2021,7336,40,324.78092783505156,415.25,431.6503544165758,90.46907216494844
40,Segovia,2022,7573,44,333.1363636363636,420.32024793388433,446.49610458206786,87.1838842975207
40,Segovia,2023,8003,42,347.6010638297872,449.75,466.1471948019493,102.14893617021278
40,Segovia,2024,8456,42,358.5,484.29920212765956,496.3777199621571,125.79920212765956
41,Sevilla,2011,24753,58,324.82758620689657,464.9026898734177,490.2999232416272,140.07510366652116
41,Sevilla,2012,26193,60,317.0,452.7069475240207,477.62593059214294,135.70694752402068
41,Sevilla,2013,28036,62,300.0,413.74747474747477,463.69435725495794,113.74747474747477
41,Sevilla,2014,30954,68,300.0,400.0,450.0076242165794,100.0
41,Sevilla,2015,34550,69,300.0,389.98230088495575,447.9247467438495,89.98230088495575
41,Sevilla,2016,38073,70,300.0,400.25,462.4460116092769,100.25
41,Sevilla,2017,41864,75,297.1875,399.3181818181818,465.2056898528569,102.13068181818181
41,Sevilla,2018,45163,77,300.0,401.37221095334684,471.7356907202799,101.37221095334684
41,Sevilla,2019,47896,79,301.07653061224494,424.2280759904402,511.32917153833307,123.15154537819524
41,Sevilla,2020,49923,80,300.0,441.8344617612213,524.3106984756525,141.8344617612213
41,Sevilla,2021,52645,84,307.46982758620686,450.0,542.2433469465286,142.53017241379314
41,Sevilla,2022,55684,86,311.69747899159665,456.4936102236422,549.4943430788018,144.79613123204552
41,Sevilla,2023,59187,86,316.2235576923077,480.5148972120529,582.5668981364151,164.29133951974524
41,Sevilla,2024,62498,89,340.0,488.4952380952381,606.2342314954078,148.4952380952381
42,Soria,2011,2345,14,281.375,331.0,403.01663113006396,49.625
42,Soria,2012,2362,13,282.10526315789474,300.0,391.08636748518205,17.89473684210526
42,Soria,2013,2367,12,262.25,324.64312977099235,374.74397972116606,62.393129770992346
42,Soria,2014,2531,13,261.35714285714283,320.0,374.4547609640458,58.64285714285717
42,Soria,2015,2668,12,256.545,312.4186746987952,366.13943028485755,55.873674698795185
42,Soria,2016,2857,12,260.9119047619048,332.64453125,375.1942597129856,71.7326264880952
42,Soria,2017,2996,13,270.0,302.84090909090907,372.53938584779706,32.840909090909065
42,Soria,2018,3198,13,268.04,323.1818181818182,378.1744840525328,55.14181818181817
42,Soria,2019,3429,13,276.1864406779661,334.0,415.13735783027124,57.81355932203388
42,Soria,2020,3615,14,294.6034518396031,349.91696917750664,418.0752420470263,55.313517337903534
42,Soria,2021,3779,14,295.4175035868006,355.5568181818182,427.3511510981741,60.139314595017595
42,Soria,2022,3920,15,298.768115942029,391.7435897435897,447.181887755102,92.97547380156072
