COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year,lon,lat
42,Soria,42025,Arcos de Jalón,312.3076923076923,258.75384615384615,408.9384615384615,150.18461538461537,65,2,2024,-2.273988230684127,41.19307018200004
14,Córdoba,14057,"Rambla, La",312.2962962962963,282.5925925925926,353.8888888888889,71.2962962962963,54,2,2024,-4.7735085533444686,37.667265191500036
50,Zaragoza,50147,Luceni,312.0,279.0,547.0,268.0,17,1,2024,-1.2604790940398516,41.817304499000045
41,Sevilla,41082,"Roda de Andalucía, La",312.0,250.0,377.0,127.0,36,1,2024,-4.776288234423699,37.21141807950005
10,Cáceres,10049,Casar de Cáceres,312.0,265.0,365.3,100.30000000000001,90,2,2024,-6.461998912472103,39.57911707300005
37,Salamanca,37246,Peñaranda de Bracamonte,311.9569892473118,260.4301075268817,351.61290322580646,91.18279569892474,279,2,2024,-5.216234659923412,40.902148265500045
50,Zaragoza,50225,Ricla,311.94690265486724,273.8938053097345,376.1061946902655,102.21238938053102,113,2,2024,-1.4080053904940613,41.52432206950007
10,Cáceres,10177,Sierra de Fuentes,311.8421052631579,234.89473684210526,408.7894736842105,173.89473684210526,38,2,2024,-6.263835189590553,39.43175779950005
37,Salamanca,37376,Vitigudino,311.8181818181818,262.34090909090907,364.77272727272725,102.43181818181819,88,2,2024,-6.424878916655606,41.01798324550006
28,Madrid,28037,Cenicientos,311.57142857142856,271.42857142857144,382.0,110.57142857142856,49,2,2024,-4.501293329933941,40.24227579150005
05,Ávila,05047,Candeleda,311.5,246.25,377.5,131.25,164,2,2024,-5.27870327738145,40.17502084550006
43,Tarragona,43026,Benissanet,311.30434782608694,281.7391304347826,383.7391304347826,102.0,23,2,2024,0.5734994682332644,41.071928591000045
47,Valladolid,47159,Serrada,311.0,245.0,372.0,127.0,25,1,2024,-4.847830988518692,41.466477218500046
33,Asturias,33027,Grandas de Salime,311.0,298.0,396.0,98.0,15,1,2024,-6.917913158440939,43.188433094500056
45,Toledo,45187,Villafranca de los Caballeros,310.5777777777778,246.26666666666668,375.2,128.9333333333333,45,2,2024,-3.3659016268501722,39.44703204250007
11,Cádiz,11001,Alcalá de los Gazules,310.5301204819277,261.4457831325301,389.7831325301205,128.3373493975904,83,2,2024,-5.690336968772808,36.434751239000065
29,Málaga,29095,Villanueva de Algaidas,310.3333333333333,280.0,398.0,118.0,30,2,2024,-4.411870572432882,37.19468988700007
12,Castellón/Castelló,12140,Viver,310.07894736842104,247.03947368421052,418.5394736842105,171.5,76,2,2024,-0.624958260157203,39.93114449600006
14,Córdoba,14009,Belmez,310.06451612903226,269.35483870967744,472.0967741935484,202.74193548387098,31,2,2024,-5.165098715824251,38.267171702500065
34,Palencia,34022,Baltanás,310.0,268.0,355.0,87.0,14,1,2024,-4.212034103098572,41.947929799000036
18,Granada,18133,Molvízar,310.0,250.0,471.0,221.0,14,1,2024,-3.594953514371533,36.79495857200004
02,Albacete,02063,Pozohondo,310.0,222.0,464.0,242.0,18,1,2024,-1.9144472391206717,38.72902523850004
32,Ourense,32087,Vilamarín,310.0,209.0,379.0,170.0,14,1,2024,-7.888161476238061,42.46389718550006
23,Jaén,23047,"Iruela, La",310.0,256.0,352.0,96.0,26,1,2024,-2.92010845918474,37.962943897500054
43,Tarragona,43071,Horta de Sant Joan,310.0,224.0,402.0,178.0,10,1,2024,0.32463781732647834,40.928883797000054
10,Cáceres,10104,Jaraíz de la Vera,309.8937198067633,241.54589371980677,373.0338164251208,131.48792270531402,207,2,2024,-5.743379831610321,40.02419164250006
04,Almería,04047,Gádor,309.7959183673469,242.24489795918367,378.7959183673469,136.55102040816325,49,2,2024,-2.478801436897571,36.962335217500055
45,Toledo,45046,Cebolla,309.75,248.15,442.6,194.45000000000002,40,2,2024,-4.566919545887933,39.93531200450005
12,Castellón/Castelló,12012,Altura,309.2903225806452,251.16129032258064,398.61290322580646,147.45161290322582,124,2,2024,-0.5851675638994246,39.80408974900007
06,Badajoz,06060,Guareña,309.14285714285717,253.85714285714286,386.42857142857144,132.57142857142858,63,2,2024,-6.135560717725946,38.89189668550006
02,Albacete,02034,Fuentealbilla,308.43243243243245,268.86486486486484,360.56756756756755,91.70270270270271,37,2,2024,-1.5440900391630317,39.24102612500005
14,Córdoba,14022,Doña Mencía,308.41379310344826,238.79310344827587,373.0344827586207,134.24137931034483,58,2,2024,-4.366637560591128,37.55039303200007
36,Pontevedra,36013,Covelo,308.1186440677966,250.0,434.271186440678,184.27118644067798,59,2,2024,-8.352894891080762,42.26916739300006
46,Valencia/Valéncia,46170,Mogente/Moixent,308.07070707070704,248.7979797979798,366.82828282828285,118.03030303030306,99,2,2024,-0.7852177229649768,38.861557186000056
12,Castellón/Castelló,12124,Vall d'Alba,308.0701754385965,250.0,375.96491228070175,125.96491228070175,171,2,2024,-0.030738999581215884,40.17454899900005
25,Lleida,25190,Salàs de Pallars,308.0,290.0,449.0,159.0,11,1,2024,0.9203161431670572,42.22658885650006
15,"Coruña, A",15090,Vilasantar,308.0,152.0,400.0,248.0,14,1,2024,-8.09713961438837,43.07701272850008
15,"Coruña, A",15033,Dodro,308.0,215.0,380.0,165.0,13,1,2024,-8.71913693619419,42.72362905850005
