CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
05672,PUENTE AGÜERO,Media distancia,39,ENTRAMBASAGUAS,2.0,Renfe Data GTFS alta/larga/media,43.406489,-3.719342
05673,VILLAVERDE DE PONTONES,Media distancia,39,RIBAMONTÁN AL MONTE,2.0,Renfe Data GTFS alta/larga/media,43.411322,-3.703643
05675,HOZ DE ANERO,Media distancia,39,RIBAMONTÁN AL MONTE,2.0,Renfe Data GTFS alta/larga/media,43.404885,-3.666883
05677,BERANGA,Media distancia,39,HAZAS DE CESTO,2.0,Renfe Data GTFS alta/larga/media,43.41371,-3.57713
05679,GAMA,Media distancia,39,BÁRCENA DE CICERO,2.0,Renfe Data GTFS alta/larga/media,43.42315,-3.52472
05681,CICERO,Media distancia,39,BÁRCENA DE CICERO,2.0,Renfe Data GTFS alta/larga/media,43.417052,-3.49049
05683,TRETO,Media distancia,39,BÁRCENA DE CICERO,2.0,Renfe Data GTFS alta/larga/media,43.39409,-3.4692
05685,LIMPIAS,Media distancia,39,LIMPIAS,2.0,Renfe Data GTFS alta/larga/media,43.35881,-3.43334
05687,MARRÓN,Media distancia,39,AMPUERO,2.0,Renfe Data GTFS alta/larga/media,43.34661,-3.420918
05689,UDALLA,Media distancia,39,RASINES,2.0,Renfe Data GTFS alta/larga/media,43.31368,-3.44549
05691,GIBAJA,Media distancia,39,RAMALES DE LA VICTORIA,2.0,Renfe Data GTFS alta/larga/media,43.28219,-3.43831
05497,KARRANTZA,Media distancia,48,KARRANTZA HARANA/VALLE DE CARRANZA,2.0,Renfe Data GTFS alta/larga/media,43.238854,-3.357827
05493,VILLAVERDE DE TRUCIOS,Media distancia,48,TRUCIOS-TURTZIOZ,2.0,Renfe Data GTFS alta/larga/media,43.24128,-3.25054
05489,ARTZENTALES,Media distancia,48,ERRIBERAGOITIA/RIBERA ALTA,2.0,Renfe Data GTFS alta/larga/media,43.25,-3.22
05487,TRASLAVIÑA,Media distancia,48,ARTZENTALES,2.0,Renfe Data GTFS alta/larga/media,43.23329,-3.198304
05484,MIMETIZ,Media distancia,48,ZALLA,2.0,Renfe Data GTFS alta/larga/media,43.2132627,-3.1352774
05473,ARANGUREN,Media distancia,48,ZALLA,2.0,Renfe Data GTFS alta/larga/media,43.2104561,-3.108399
05467,SODUPE,Media distancia,48,GÜEÑES,2.0,Renfe Data GTFS alta/larga/media,43.2020301,-3.050517
05463,ZARAMILLO,Media distancia,48,GÜEÑES,2.0,Renfe Data GTFS alta/larga/media,43.2332894,-3.015904
